店名,住所,区名,評価,コメント数,保存数,営業時間,定休日,予算,個室有無,席数,駐車場有無
らぁ麺や 嶋,渋谷区本町3-41-12,渋谷区,3.99,1176,89843,[月〜金]9:30頃～16:00(売り切れ次第終了),[月〜金]9:30頃～16:00(売り切れ次第終了),"￥1,000～￥1,999",無,6席,無
宍道湖しじみ中華蕎麦 琥珀 東京本店,大田区西六郷2-1-3,大田区,3.98,1061,52943,［ 平日 ］11:30 〜 15:00 L.O,［ 平日 ］11:30 〜 15:00 L.O,"￥1,000～￥1,999",無,5席,無
むかん,中野区中央2-2-24 大江戸コーポ 1F,中野区,3.97,347,23558,営業時間やメニューは日によって変わりますのでX（旧Twitter）にて確認お願い致しますX（旧Twitter）から予約宜しくお願いいたします,営業時間やメニューは日によって変わりますのでX（旧Twitter）にて確認お願い致しますX（旧Twitter）から予約宜しくお願いいたします,"￥1,000～￥1,999",無,5席,無
Ramen FeeL（ラーメンフィール）,青梅市梅郷4-695-1,青梅市,3.96,642,37258,11:00～15:00 [土・日・祝]11:00～16:00,11:00～15:00 [土・日・祝]11:00～16:00,"￥1,000～￥1,999",有,21席,有
中華そば しば田,調布市若葉町2-25-20,調布市,3.95,2189,96200,［月火水金土］11:00～15:0017:30〜20:00［木曜日］11:00〜15:00,［月火水金土］11:00～15:0017:30〜20:00［木曜日］11:00〜15:00,"￥1,000～￥1,999",無,8席,無
Homemade Ramen 麦苗,品川区南大井6-11-10,品川区,3.95,1876,93772,11:00～15:30＊注＊午前9時頃からウェイティングボードが店頭に出ますので注意書きをよく確認の上、記名し、指定された集合時刻に戻ってくるシステムです。一人で複数人数分の席も取れます。,11:00～15:30＊注＊午前9時頃からウェイティングボードが店頭に出ますので注意書きをよく確認の上、記名し、指定された集合時刻に戻ってくるシステムです。一人で複数人数分の席も取れます。,"￥1,000～￥1,999",無,8席,無
ジャパニーズ ラーメン 五感（Japanese Ramen 五感）,豊島区東池袋2-57-2 コスモ東池袋 101,豊島区,3.95,490,34935,11:30～15:00,11:30～15:00,"￥1,000～￥1,999",無,8席,無
メヂカそば 吟魚,日野市石田2-9-1,日野市,3.94,327,7409,11:00～14:30(L.O.)※スープ売切れ次第閉店,11:00～14:30(L.O.)※スープ売切れ次第閉店,"￥1,000～￥1,999",有,6席,有
銀座 八五,中央区銀座3-14-2 第一はなぶさビル 1F,中央区,3.93,1733,149508,11:00～ 当日の並び順でのご案内※当日分のスープがなくなり次第受付を終了いたします。12:30～ ご予約者様のご案内,11:00～ 当日の並び順でのご案内※当日分のスープがなくなり次第受付を終了いたします。12:30～ ご予約者様のご案内,"￥1,000～￥1,999",無,6席,無
入鹿TOKYO 六本木（イルカトウキョウ）,港区六本木4-12-12 穂高ビル 1F,港区,3.93,1315,51145,[火～日]11:00～21:00(L.O.20:50),[火～日]11:00～21:00(L.O.20:50),"￥1,000～￥1,999",無,12席,無
麺処 しろくろ（SOBA-Shiro Kuro）,杉並区上高井戸1-1-7,杉並区,3.93,682,24928,,,～￥999,無,6席,無
麺屋 さくら井,武蔵野市西久保2-15-27,武蔵野市,3.92,1409,55917,[火・木・金]11:30～15:00[日]11:30～16:00[月・土]11:30～15:0018:00～20:30,[火・木・金]11:30～15:00[日]11:30～16:00[月・土]11:30～15:0018:00～20:30,～￥999,無,9席,無
入鹿TOKYO（IRUCA-Tokyo- 入鹿東京）,東久留米市本町1-4-28,東久留米市,3.92,473,21750,[月]　11:00～15:00＊店内営業[火～日]　11:00～15:00＊テイクアウトのみ,[月]　11:00～15:00＊店内営業[火～日]　11:00～15:00＊テイクアウトのみ,～￥999,無,8席,無
中華ソバ 伊吹,板橋区前野町4-58-10 見次パークマンション 1F,板橋区,3.91,1355,58019,[火～土]11:45～14:30（スープ終了次第閉店。約65杯）18:40～20:35（スープ終了次第閉店。約45杯)※提供杯数やスープ終了の情報、臨時休業等は随時ホームページに記載されますので、ご来店予定の方はぜひ事前にチェックする事をおすすめいたします。,[火～土]11:45～14:30（スープ終了次第閉店。約65杯）18:40～20:35（スープ終了次第閉店。約45杯)※提供杯数やスープ終了の情報、臨時休業等は随時ホームページに記載されますので、ご来店予定の方はぜひ事前にチェックする事をおすすめいたします。,～￥999,無,7席,無
成城青果,世田谷区南烏山3-1-11 芦花パークヒル 1F,世田谷区,3.91,1275,32372,"［月～金］ 11:00～15:00 17:00～25:00(L.O.24:45) ［土,日,祝］ 11:00～翌1:00(L.O.24:45)","［月～金］ 11:00～15:00 17:00～25:00(L.O.24:45) ［土,日,祝］ 11:00～翌1:00(L.O.24:45)",～￥999,無,6席,無
Ramen Break Beats（ラーメン ブレイク ビーツ）,目黒区目黒4-21-19 アイビーハイツ 1F,目黒区,3.91,743,54189,営業時間 11:30～15:30ご予約はTable Checkでお願い致します。,営業時間 11:30～15:30ご予約はTable Checkでお願い致します。,"￥1,000～￥1,999",無,8席,無
桜上水 船越,杉並区下高井戸1-21-10 1F,杉並区,3.91,589,19202,11:00～15:00(土・祝は16:30～20:00の変則営業の場合も有り),11:00～15:00(土・祝は16:30～20:00の変則営業の場合も有り),"￥1,000～￥1,999",無,8席,無
"三ん寅（SAN TORA	）",新宿区山吹町362 プレステージ362,新宿区,3.9,1581,58058,11:00～15:00(L.O) 17:30～20:00(L.O) (昼夜共に材料売り切れによる早目の終了あり),11:00～15:00(L.O) 17:30～20:00(L.O) (昼夜共に材料売り切れによる早目の終了あり),"￥1,000～￥1,999",無,15席,無
味噌っ子 ふっく,杉並区上荻2-40-11 四面道ビル 1F,杉並区,3.9,1280,49043,11:00～15:00 18:00～21:00 売り切れ次第終了,11:00～15:00 18:00～21:00 売り切れ次第終了,～￥999,無,8席,無
中華そば べんてん,練馬区旭町3-25-2,練馬区,3.9,1024,39648,11:00～14:30,11:00～14:30,"￥1,000～￥1,999",無,11席,無
タンタン,八王子市子安町1-30-6,八王子市,3.9,931,29757,[火～金]11:00～14:30,[火～金]11:00～14:30,～￥999,有,9席,有
麺屋吉左右（めんや きっそう）,江東区東陽1-11-3,江東区,3.89,1842,63366,11:30～15:00,11:30～15:00,"￥1,000～￥1,999",無,10席,無
一条流がんこ総本家分家四谷荒木町（【旧店名】一条流がんこラーメン総本家）,新宿区舟町4-1 メゾンド四谷 106,新宿区,3.89,860,48644,9:00～13:00（L.O.）,9:00～13:00（L.O.）,"￥1,000～￥1,999",無,7席,無
創作麺工房 鳴龍（NAKIRYU）,豊島区南大塚2-34-4 SKY南大塚 1F,豊島区,3.88,1797,93913,11:00～15:00,11:00～15:00,"￥1,000～￥1,999",無,12席,無
つけ麺 道,葛飾区亀有5-28-17,葛飾区,3.88,1677,57433,,,"￥1,000～￥1,999",無,8席,無
純手打ち だるま,杉並区和田1-18-3,杉並区,3.88,894,31273,11:30～15:00,11:30～15:00,"￥1,000～￥1,999",無,8席,無
饗 くろ喜（もてなし くろき/饗 くろ㐂）,台東区浅草橋1-28-9 ROJI ASAKUSABASHI 1F,台東区,3.88,236,10482,[月・水・木・金・土]11:00～15:00 [火]11:00～15:00 18:00～20:00,[月・水・木・金・土]11:00～15:00 [火]11:00～15:00 18:00～20:00,"￥1,000～￥1,999",無,13席,無
中華そば 多賀野,品川区中延2-15-10,品川区,3.87,1759,81307,11:30～14:30※スープが終わり次第終了【年末年始】2023年12月30日〜1月10日まで休み,11:30～14:30※スープが終わり次第終了【年末年始】2023年12月30日〜1月10日まで休み,～￥999,無,10席,無
柴崎亭 つつじヶ丘本店,調布市西つつじヶ丘3-25-52,調布市,3.87,1569,50673,[月～金]11:00～14:0017:00～22:00[土・日・祝]11:00～20:00,[月～金]11:00～14:0017:00～22:00[土・日・祝]11:00～20:00,"￥1,000～￥1,999",無,10席,無
中華そば 児ノ木,新宿区上落合1-5-3,新宿区,3.87,978,27014,11:00〜15:0017:30〜21:00その他、臨時休業等の情報はTwitterにて随時更新しております,11:00〜15:0017:30〜21:00その他、臨時休業等の情報はTwitterにて随時更新しております,"￥1,000～￥1,999",無,10席,無
自家製中華そば としおか,新宿区弁天町20,新宿区,3.87,907,47470,11:00～14:00,11:00～14:00,"￥1,000～￥1,999",無,8席,無
支那ソバ おさだ,板橋区大山金井町38-1,板橋区,3.87,654,17488,[火・木・金]11:00～14:3018:00～20:00[月・日]11:00～16:00,[火・木・金]11:00～14:3018:00～20:00[月・日]11:00～16:00,"￥1,000～￥1,999",無,13席,無
Tokyo Style Noodle ほたて日和（トウキョウスタイルヌードル）,千代田区神田佐久間町2-25,千代田区,3.87,480,34879,[月・火・木・金]11:00～14:4017:30～19:50[土・日・祝]11:00～15:2016:50～18:30,[月・火・木・金]11:00～14:4017:30～19:50[土・日・祝]11:00～15:2016:50～18:30,"￥1,000～￥1,999",無,8席,無
麺屋一燈（いっとう）,葛飾区東新小岩1-4-17,葛飾区,3.86,3392,119698,【月～日】11:00～15:00／18:00～21:00,【月～日】11:00～15:00／18:00～21:00,"￥1,000～￥1,999",無,11席,無
MENSHO,文京区音羽1-17-16 中銀音羽マンシオン１F,文京区,3.86,1201,50942,11:00～21:00 (L.O 20:40)年末年始は以下の営業時間です12/28:通常営業12/29〜1/3 お休み1/4〜 通常営業,11:00～21:00 (L.O 20:40)年末年始は以下の営業時間です12/28:通常営業12/29〜1/3 お休み1/4〜 通常営業,"￥1,000～￥1,999",無,11席,無
燦燦斗（さんさんと）,北区中十条3-16-15,北区,3.86,955,37641,18:00～20:30,18:00～20:30,～￥999,無,7席,無
中華そば 西川,世田谷区砧2-15-10 メゾンドオーポン 1F,世田谷区,3.86,830,33041,11:00～14:30,11:00～14:30,"￥1,000～￥1,999",無,8席,無
手打麺祭 かめ囲,調布市菊野台1-55-1 コーポえびすい 1F,調布市,3.86,738,24498,[月・木～日]11:00～14:3018:00～20:00[火]11:00～14:30,[月・木～日]11:00～14:3018:00～20:00[火]11:00～14:30,"￥1,000～￥1,999",無,10席,無
中華蕎麦 ひら井,府中市栄町2-11-7,府中市,3.86,699,25243,[月～金]11:00〜15:00[土日]11:00〜17:00売り切れ早仕舞いあり。,[月～金]11:00〜15:00[土日]11:00〜17:00売り切れ早仕舞いあり。,"￥1,000～￥1,999",無,9席,無
らぁめん 山と樹（らぁめんやまとき）,杉並区高円寺南5-21-7 高円寺マンション 107,杉並区,3.85,969,34794,11:30～16:00,11:30～16:00,～￥999,無,8席,無
中華蕎麦 蘭鋳,杉並区堀ノ内2-13-13,杉並区,3.85,873,35166,12：00～14：00※材料切れの場合早期終了,12：00～14：00※材料切れの場合早期終了,～￥999,無,8席,無
麺笑 巧真（TAKUMA）,八王子市明神町4-12-2,八王子市,3.85,709,17498,[月～金]11:00～14:3018:00～22:00[土・日・祝]11:00～16:00,[月～金]11:00～14:3018:00～22:00[土・日・祝]11:00～16:00,～￥999,無,12席,無
there is ramen（ゼアー イズ ラーメン）,杉並区天沼3-10-16,杉並区,3.85,706,16498,平日11時-16時 18時-21時30分土日祝11時-21時30分(通し営業),平日11時-16時 18時-21時30分土日祝11時-21時30分(通し営業),"￥1,000～￥1,999",無,7席,無
ラーメン屋 トイ・ボックス,荒川区 東日暮里1-1-3 1階,荒川区,3.84,2042,70934,［火曜〜金曜］11:00～15:00 18:00〜21:00［土日祝日］11:00〜15:00（材料切れにより早仕舞いの場合があります）※毎月第二火曜定休,［火曜〜金曜］11:00～15:00 18:00〜21:00［土日祝日］11:00〜15:00（材料切れにより早仕舞いの場合があります）※毎月第二火曜定休,"￥1,000～￥1,999",無,8席,無
ほっこり中華そば もつけ,八王子市万町34-1,八王子市,3.84,1159,37132,10:40～15:00,10:40～15:00,"￥1,000～￥1,999",無,6席,無
Japanese Soba Noodles 蔦,渋谷区西原3-2-4 フロンティア代々木上原 B1F,渋谷区,3.84,1049,45270,11:00〜15:00毎週火曜・毎月第三水曜 定休,11:00〜15:00毎週火曜・毎月第三水曜 定休,"￥3,000～￥3,999",無,23席,無
麺や金時（Golden time）,練馬区小竹町1-2-7,練馬区,3.84,927,49163,(ランチ)11:00～14:15（L.O）※14:15分前にオーダーストップする場合がございます。※基本的に営業中は電話に出れませんのでご了承下さい。(ディナー)18:00～19:45（L.O）※平日は19時30分前に材料が終了する事が多いです。※祭日の夜の営業は19時くらいで材料が終了する事がございます。営業中電話に出れませんのでご了承下さい,(ランチ)11:00～14:15（L.O）※14:15分前にオーダーストップする場合がございます。※基本的に営業中は電話に出れませんのでご了承下さい。(ディナー)18:00～19:45（L.O）※平日は19時30分前に材料が終了する事が多いです。※祭日の夜の営業は19時くらいで材料が終了する事がございます。営業中電話に出れませんのでご了承下さい,"￥1,000～￥1,999",無,7席,無
中華そば 和渦 TOKYO,品川区北品川3-2-1 MTM STUDIO 2F,品川区,3.83,1407,46385,[月～土]11:00～14:3018:00～20:30(売り切れ次第終了),[月～土]11:00～14:3018:00～20:30(売り切れ次第終了),"￥1,000～￥1,999",無,19席,無
らーめんMAIKAGURA,世田谷区船橋1-38-4,世田谷区,3.83,1125,38227,11:30〜15:00 / 18:00〜20:00（但し、食材切れの際は営業を終了させていただく場合がございます。）,11:30〜15:00 / 18:00〜20:00（但し、食材切れの際は営業を終了させていただく場合がございます。）,"￥1,000～￥1,999",無,9席,無
あさひ町内会,板橋区板橋3-5-1 リビオタワー板橋 1F,板橋区,3.83,935,27546,11:00～15:0017:00～20:30(L.O.),11:00～15:0017:00～20:30(L.O.),～￥999,無,16席,無
寿製麺 よしかわ 西台駅前店,板橋区蓮根3-8-14,板橋区,3.83,913,22954,[月～土]11時〜21時(L.O.20:30)[日・祝祭日]11時～２０時（LO19：30）,[月～土]11時〜21時(L.O.20:30)[日・祝祭日]11時～２０時（LO19：30）,～￥999,無,8席,無
らぁめん 葉月（らぁめん はづき）,大田区雪谷大塚町11-8,大田区,3.83,908,28964,[水～土]11:30～14:0018:00～20:30[日・祝]11:30～15:00売り切れ次第終了,[水～土]11:30～14:0018:00～20:30[日・祝]11:30～15:00売り切れ次第終了,"￥1,000～￥1,999",無,10席,無
長男、ほそのたかし,練馬区旭丘1-68-12 第4正道江古田ビル 1F,練馬区,3.83,482,10437,平日の月曜日は『牛骨旨辛つけ麺』のみでの営業です！！平日11:00～14:50(L.O)17:30〜21:00(L.O)※土、日、祝日は中休みなしの通し営業となります。11:00-20:00(L.O),平日の月曜日は『牛骨旨辛つけ麺』のみでの営業です！！平日11:00～14:50(L.O)17:30〜21:00(L.O)※土、日、祝日は中休みなしの通し営業となります。11:00-20:00(L.O),"￥1,000～￥1,999",無,8席,無
SOBA HOUSE 金色不如帰 新宿御苑本店（コンジキホトトギス）,新宿区新宿2-4-1 第22宮廷マンション 1F,新宿区,3.82,2227,101555,[月～金] 11:00～15:0018:30～21:00※材料終了次第閉店,[月～金] 11:00～15:0018:30～21:00※材料終了次第閉店,～￥999,無,10席,無
カネキッチン ヌードル（KaneKitchen Noodles）,豊島区南長崎5-26-15 マチテラス南長崎 2F,豊島区,3.82,1184,38395,[木～火] 11:30～14:50(LO) 18:00～20:45(LO)21:00完全閉店水曜日定休日　定休日特別営業あり限定麺、営業情報は公式Twitter@freedam99999で確認ください※麺、スープなくなり次第閉店となります。,[木～火] 11:30～14:50(LO) 18:00～20:45(LO)21:00完全閉店水曜日定休日　定休日特別営業あり限定麺、営業情報は公式Twitter@freedam99999で確認ください※麺、スープなくなり次第閉店となります。,～￥999,無,11席,無
神名備（かむなび）,文京区千駄木4-21-3,文京区,3.82,1065,42135,[水～金]11:45～14:00(無くなり次第終了)[土・日]12:00～14:0018:00～20:00(無くなり次第終了),[水～金]11:45～14:00(無くなり次第終了)[土・日]12:00～14:0018:00～20:00(無くなり次第終了),"￥1,000～￥1,999",無,13席,無
麺創庵 砂田,豊島区巣鴨4-24-6 富士ビル,豊島区,3.82,912,34899,・平日（水曜日は朝昼のみ）　朝昼の部　9時〜14時（LO13時半）　夜の部　18時〜20時半（LO20時）・土日祝　朝昼の部　9時〜15時半（LO15時）,・平日（水曜日は朝昼のみ）　朝昼の部　9時〜14時（LO13時半）　夜の部　18時〜20時半（LO20時）・土日祝　朝昼の部　9時〜15時半（LO15時）,"￥1,000～￥1,999",無,7席,無
中洲屋台長浜ラーメン初代 健太 東京高円寺本店（【旧店名】中洲屋台 健太）,中野区大和町1-66-6,中野区,3.82,739,39693,12:00～15:00,12:00～15:00,～￥999,無,9席,無
中華ソバ ちゃるめ,大田区萩中2-1-4 丸栄ビルEAST 1F,大田区,3.82,685,17076,[火～金］11:00～15:00 18:00～21:00(売切れ仕舞い)[土・日・祝]11:00～15:00(売切れ仕舞い),[火～金］11:00～15:00 18:00～21:00(売切れ仕舞い)[土・日・祝]11:00～15:00(売切れ仕舞い),～￥999,無,8席,無
らーめん亭 ひなり竜王,大田区大森中2-14-17,大田区,3.82,467,11453,11:00～14:30 18:00～20:30(売り切れ時閉店),11:00～14:30 18:00～20:30(売り切れ時閉店),"￥1,000～￥1,999",無,8席,無
手打ち 蓮,墨田区千歳3-16-2,墨田区,3.82,345,13399,手打ち麺無くなり次第営業終了！[火・水・木・土]11:30～14:30 LO18:00～20:00 LO[日・祝］11:30～14:30 LO,手打ち麺無くなり次第営業終了！[火・水・木・土]11:30～14:30 LO18:00～20:00 LO[日・祝］11:30～14:30 LO,"￥1,000～￥1,999",無,7席,無
つけめん金龍,千代田区神田司町2-15-16 サトウビル 1F,千代田区,3.81,1642,51225,昼の部 11：00〜15：00夜の部 17：00〜20：30ラストオーダー※20:30までに列に並んでいただければ最後までご提供出来ます,昼の部 11：00〜15：00夜の部 17：00〜20：30ラストオーダー※20:30までに列に並んでいただければ最後までご提供出来ます,"￥1,000～￥1,999",無,7席,無
大島,江戸川区船堀6-7-13,江戸川区,3.81,1420,59897,[火～土] 11:00～15:00、17:00～20:30(LO)[日・祝] 11:00～16:00、17:00～20:00※いずれもスープ無くなり次第終了,[火～土] 11:00～15:00、17:00～20:30(LO)[日・祝] 11:00～16:00、17:00～20:00※いずれもスープ無くなり次第終了,～￥999,無,16席,無
キング製麺,北区王子本町1-14-1 高崎ビル 1F,北区,3.81,1349,43472,昼の部 11:00～15:00夜の部 17:30〜20:30,昼の部 11:00～15:00夜の部 17:30〜20:30,"￥1,000～￥1,999",無,10席,無
Ramen にじゅうぶんのいち（Ramen 1/20）,荒川区東尾久2-19-10,荒川区,3.81,888,25624,【火・水・金】11:30～14:30【土・日】11:30〜15:00※売り切れ次第閉店,【火・水・金】11:30～14:30【土・日】11:30〜15:00※売り切れ次第閉店,"￥1,000～￥1,999",無,8席,無
一番いちばん（いちばんいちばん）,町田市中町1-28-24 大成ビル　１Ｆ,町田市,3.81,831,28906,[木～火]12:00～14:3018:00～20:00（材料無くなり次第終了）,[木～火]12:00～14:3018:00～20:00（材料無くなり次第終了）,"￥1,000～￥1,999",無,12席,無
西永福の煮干箱,杉並区永福3-55-3,杉並区,3.81,557,12844,[月～土]11:30～15:0018:00～21:00[日]11:30～15:00,[月～土]11:30～15:0018:00～21:00[日]11:30～15:00,"￥1,000～￥1,999",無,8席,無
らぁめん小池,世田谷区上北沢4-19-18 上北沢ハイネスコーポ1F,世田谷区,3.8,1446,45251,[平日]11:00〜14:30 / 18:00〜21:00[土日祝]11:00〜15:00 / 18:00〜21:00,[平日]11:00〜14:30 / 18:00〜21:00[土日祝]11:00〜15:00 / 18:00〜21:00,"￥1,000～￥1,999",無,11席,無
つけ麺 和 東京本店（カズ）,足立区西竹ノ塚1-12-9 共栄ビル 1F,足立区,3.8,422,15010,,,"￥1,000～￥1,999",無,13席,無
麺 ふじさき,江東区亀戸2-8-11 アドリーム亀戸 1F,江東区,3.8,327,10911,[月]11:30～14:15(L.O.14:00)[水～日]11:30～14:15(L.O.14:00)18:00～20:30(L.O.20:15),[月]11:30～14:15(L.O.14:00)[水～日]11:30～14:15(L.O.14:00)18:00～20:30(L.O.20:15),"￥1,000～￥1,999",無,11席,無
青島食堂 秋葉原店,千代田区神田佐久間町3-20-1,千代田区,3.79,2443,89396,11:00～17:00※食材なくなり次第　営業終了する場合があります。,11:00～17:00※食材なくなり次第　営業終了する場合があります。,～￥999,無,9席,無
中華蕎麦にし乃,文京区本郷3-30-7 熊野ビル B101,文京区,3.79,2184,75986,昼の部 11:00〜15:00/夜の部 18:00〜21:00,昼の部 11:00〜15:00/夜の部 18:00〜21:00,"￥1,000～￥1,999",無,10席,無
こうかいぼう,江東区深川2-13-10 ニックハイム深川 1F,江東区,3.79,2104,65725,[月・火・木・金]11:00～15:0017:30～19:00 なくなり次第終了[土・祝]11:00～15:00,[月・火・木・金]11:00～15:0017:30～19:00 なくなり次第終了[土・祝]11:00～15:00,～￥999,無,15席,無
煮干鰮らーめん 圓 八王子本店（エン）,八王子市横山町21-21,八王子市,3.79,2045,48000,11:00～24:00,11:00～24:00,"￥1,000～￥1,999",無,7席,無
麺処 晴（HARU）,台東区下谷1-11-7,台東区,3.79,1758,51628,[月～金]11:00～15:0018:00～21:00[土・日・祝]11:00～17:00,[月～金]11:00～15:0018:00～21:00[土・日・祝]11:00～17:00,～￥999,無,7席,無
らぁ麺やまぐち,新宿区西早稲田3-13-4 1F,新宿区,3.79,1743,72481,全日      11:00～21:30(LO 21:30),全日      11:00～21:30(LO 21:30),"￥1,000～￥1,999",無,14席,無
田中商店 本店（たなかしょうてん）,足立区一ツ家2-14-6,足立区,3.79,1628,49624,18:00～翌4:00,18:00～翌4:00,～￥999,有,36席,有
竹末東京Premium,墨田区業平5-14-7 フラーリシ押上 1F,墨田区,3.79,1538,61990,11:30～15:0018:00～21:00【火曜日は不定休です。ご来店の際はTwitterをご確認下さい。】,11:30～15:0018:00～21:00【火曜日は不定休です。ご来店の際はTwitterをご確認下さい。】,"￥1,000～￥1,999",無,11席,無
麺処 びぎ屋,目黒区鷹番2-4-9,目黒区,3.79,1387,49526,[月～日] 11:30～14:45　18:00～21:00※変則的なため公式SNSよりご確認ください,[月～日] 11:30～14:45　18:00～21:00※変則的なため公式SNSよりご確認ください,"￥1,000～￥1,999",無,11席,無
町田汁場 しおらーめん進化 本店（町田汁場）,町田市森野3-18-17 ウイング森野 1F,町田市,3.79,1364,48041,［月～土］11:00～15:00／18:00〜21:00［日・祝］11:00～17:00　※売り切れ早仕舞いあり,［月～土］11:00～15:00／18:00〜21:00［日・祝］11:00～17:00　※売り切れ早仕舞いあり,"￥1,000～￥1,999",有,18席,有
かしわぎ,中野区東中野1-36-7,中野区,3.79,1281,41374,[水～土] 11:30～15:00 18:00～22:00[月・日] 11:30～15:00,[水～土] 11:30～15:00 18:00～22:00[月・日] 11:30～15:00,～￥999,無,9席,無
メンドコロ キナリ（メンドコロ kinari）,中野区東中野1-51-4 大総ビル 1F,中野区,3.79,1225,39477,【木～火】11:30～14:30(L.O.)18:00～21:00(L.O.20:30),【木～火】11:30～14:30(L.O.)18:00～21:00(L.O.20:30),～￥999,無,11席,無
煮干そば 流。（ル）,北区上十条1-13-2,北区,3.79,1211,30518,[月・水・木・金]11:00～15:0017:00～21:00[土・日]11:00～21:00,[月・水・木・金]11:00～15:0017:00～21:00[土・日]11:00～21:00,～￥999,無,7席,無
支那そば たんたん亭,杉並区浜田山3-31-4,杉並区,3.79,1158,33363,11:00～20:30(完売次第閉店),11:00～20:30(完売次第閉店),"￥1,000～￥1,999",無,9席,無
ラーメン 健やか,武蔵野市中町1-28-1 矢島ビル 102,武蔵野市,3.79,1107,35983,11:00～15:0018:00～21:00,11:00～15:0018:00～21:00,～￥999,無,9席,無
中華そば屋 伊藤（いとう）,北区豊島4-5-3,北区,3.79,1067,37848,11:00～15:00※スープ切れの場合も営業終了。,11:00～15:00※スープ切れの場合も営業終了。,～￥999,無,12席,無
六厘舎,千代田区丸の内1-9-1 東京駅一番街 B1F 東京ラーメンストリート内,千代田区,3.78,5133,90073,7:30～10:00(L.O.9:30)※朝つけめん類のみの販売10:00～23:00(L.O.22:30)※通常メニューは10:00からとなっております。,7:30～10:00(L.O.9:30)※朝つけめん類のみの販売10:00～23:00(L.O.22:30)※通常メニューは10:00からとなっております。,～￥999,有,26席,有
風雲児 新宿本店（ふううんじ）,渋谷区代々木2-14-3 北斗第一ビルB1F,渋谷区,3.78,3688,105862,営業時間・休業営業時間・休業日は変更となる場合がございますので、HPにて最新情報をご確認ください,営業時間・休業営業時間・休業日は変更となる場合がございますので、HPにて最新情報をご確認ください,～￥999,無,15席,無
つけ麺 五ノ神製作所,渋谷区千駄ヶ谷5-33-16 シャトレー新宿御苑第一 1F,渋谷区,3.78,3301,108943,[月～日]11:00～21:30(L.O.21:00),[月～日]11:00～21:30(L.O.21:00),"￥1,000～￥1,999",無,14席,無
麺屋 翔 本店,新宿区西新宿7-22-34,新宿区,3.78,2855,90859,[月～金]11:00〜15:0018:00〜22:00[土日祝]11:00〜15:0017:00～21:00【土・日】11:00〜15:0017:00～21:00※スープ切れ次第閉店年末年始の営業のお知らせです。【本店】31日　　昼営業まで1日　　　お休み2日　　　お休み3日　　通常営業,[月～金]11:00〜15:0018:00〜22:00[土日祝]11:00〜15:0017:00～21:00【土・日】11:00〜15:0017:00～21:00※スープ切れ次第閉店年末年始の営業のお知らせです。【本店】31日　　昼営業まで1日　　　お休み2日　　　お休み3日　　通常営業,～￥999,無,18席,無
銀座 朧月（おぼろづき）,中央区銀座6-3-5 第一高橋ビル 1F,中央区,3.78,2850,89257,【月〜水・日・祝】11時～16時17時～22時【木〜土】11時～16時17時～23時※但しスープがなくなり次第終了,【月〜水・日・祝】11時～16時17時～22時【木〜土】11時～16時17時～23時※但しスープがなくなり次第終了,"￥1,000～￥1,999",無,7席,無
麺や 七彩（しちさい）,中央区八丁堀2-13-2,中央区,3.78,2721,79385,[月～金]11:00～15:0017:00～22:00[土・日・祝]11:00～15:0017:00～21:00,[月～金]11:00～15:0017:00～22:00[土・日・祝]11:00～15:0017:00～21:00,"￥1,000～￥1,999",無,13席,無
はやし,渋谷区道玄坂1-14-9 ソシアル道玄坂 1F,渋谷区,3.78,2468,89853,11:30～15:30(スープ無くなり次第閉店),11:30～15:30(スープ無くなり次第閉店),"￥1,000～￥1,999",無,10席,無
煮干しつけ麺 宮元（みやもと）,大田区西蒲田7-8-1 1F,大田区,3.78,1878,56979,11:00～15:00 17:30〜21:00,11:00～15:00 17:30〜21:00,"￥1,000～￥1,999",無,9席,無
らーめん飛粋（HIIKI）,大田区蒲田5-2-5,大田区,3.78,1787,55077,[月～土］11:00〜16:00 17:00〜21:00,[月～土］11:00〜16:00 17:00〜21:00,"￥1,000～￥1,999",無,8席,無
麺処 銀笹（ぎんざさ）,中央区銀座8-15-2 藤ビル 1F,中央区,3.78,1782,85497,[月～金]11:30～15:0017:30～22:00(スープがなくなり次第営業終了)[土]11:30～15:00,[月～金]11:30～15:0017:30～22:00(スープがなくなり次第営業終了)[土]11:30～15:00,"￥1,000～￥1,999",無,18席,無
ソラノイロ ARTISAN NOODLES（【旧店名】SORANOIRO 本店）,千代田区平河町1-3-10 ブルービル本館1B,千代田区,3.78,1763,55136,［月～金］11:00～15:30（L.O.）17:30〜20:30  (L.O.) ［祝日］11:00～14:30（L.O.）※スープ切れによる早仕舞い有※臨休は店頭カレンダー・SNS（Twitter）などで告知,［月～金］11:00～15:30（L.O.）17:30〜20:30  (L.O.) ［祝日］11:00～14:30（L.O.）※スープ切れによる早仕舞い有※臨休は店頭カレンダー・SNS（Twitter）などで告知,"￥1,000～￥1,999",無,13席,無
つけそば 神田 勝本,千代田区神田猿楽町1-2-4,千代田区,3.78,1754,62244,10:00～17:00※スープが無くなり次第、営業終了とさせていただきます。※月曜日は不定休となります。,10:00～17:00※スープが無くなり次第、営業終了とさせていただきます。※月曜日は不定休となります。,～￥999,無,13席,無
