店名,住所,区名,評価,コメント数,保存数,営業時間,定休日,予算,個室有無,席数,駐車場有無
めん徳 二代目 つじ田 新橋店,港区西新橋1-19-6 桔梗備前ビル 1F,港区,3.55,358,11143,[月～金] 11:00～16:00 [土・祝日] 11:00～16:00,[月～金] 11:00～16:00 [土・祝日] 11:00～16:00,"￥1,000～￥1,999",無,14席,無
宝来軒（ほうらいけん）,江戸川区中葛西2-22-9,江戸川区,3.55,355,12071,営業時間【平日】11:30〜14:30【金曜夜の営業】17:30～20:00 【土日(祝日の営業日)】11:30～15:00,営業時間【平日】11:30〜14:30【金曜夜の営業】17:30～20:00 【土日(祝日の営業日)】11:30～15:00,～￥999,有,59席,有
来集軒（らいしゅうけん）,台東区西浅草2-26-3,台東区,3.55,337,30292,12:00～18:00,12:00～18:00,～￥999,無,22席,無
豚山 上野店,台東区上野3-17-7,台東区,3.55,335,5427,営業時間・休業営業時間・休業日は変更となる場合がございますので、HPにて最新情報をご確認ください,営業時間・休業営業時間・休業日は変更となる場合がございますので、HPにて最新情報をご確認ください,～￥999,無,12席,無
ZOOT（ズート）,港区浜松町1-28-4 保木ビル1階,港区,3.55,320,10536,【昼】11:30～Lo.14:30(ラーメン屋として営業)【夜】17:00～23:00（焼き鳥ダイニングとして営業）,【昼】11:30～Lo.14:30(ラーメン屋として営業)【夜】17:00～23:00（焼き鳥ダイニングとして営業）,"￥1,000～￥1,999",無,29席,無
麺屋 えん寺（えんじ）,杉並区高円寺南1-6-11 共栄ハイツ東高円寺 1F,杉並区,3.55,316,7162,11:30～22:00（L.O.）　※スープ無くなり次第終了,11:30～22:00（L.O.）　※スープ無くなり次第終了,～￥999,無,15席,無
寿福（ジュフク）,目黒区緑が丘2-6-15 繁栄ビル　１F,目黒区,3.55,301,21190,11:00～14:00（L.O.13:30）17:00～20:00（L.O.19:00）※売り切れにより閉店時間が早まることがあります。,11:00～14:00（L.O.13:30）17:00～20:00（L.O.19:00）※売り切れにより閉店時間が早まることがあります。,"￥1,000～￥1,999",無,17席,無
らーめん武道家 口（クニガマエ）,国分寺市本町2-2-9,国分寺市,3.55,300,5578,,,～￥999,無,16席,無
麺屋 蕃茄（ばんか）,練馬区東大泉5-41-22,練馬区,3.55,297,6014,,,"￥1,000～￥1,999",無,14席,無
うりんぼ,台東区花川戸2-21-7,台東区,3.55,291,9300,11:30～14:30、17:40～2:00,11:30～14:30、17:40～2:00,～￥999,有,22席,有
笠岡らーめん TAKETONBO（タケトンボ）,中央区築地2-14-3 天羽ビル 1F,中央区,3.55,283,6427,11:00～15:30(L.O.15:00)17:00～21:30(L.O.21:00),11:00～15:30(L.O.15:00)17:00～21:30(L.O.21:00),～￥999,無,15席,無
漢ラーメン 室,墨田区江東橋3-8-7 錦糸町駅前プラザビル 1F,墨田区,3.55,271,4495,,,"￥1,000～￥1,999",無,12席,無
煮干しそば 虎愼（こしん）,中野区弥生町3-17-2,中野区,3.55,258,6443,［月～金］11:30～15:0017:00～20:00(L.O.19:45)［土・日・祝］11:30～20:00(L.O.19:45),［月～金］11:30～15:0017:00～20:00(L.O.19:45)［土・日・祝］11:30～20:00(L.O.19:45),～￥999,無,6席,無
陸 尾山台店,世田谷区等々力1-30-16 ライオンズマンション等々力 １F,世田谷区,3.55,256,6316,[火〜金]11:30〜14:30  18:00〜21:00[土・日・祝]11:30〜15:00※材料が無くなり次第終了,[火〜金]11:30〜14:30  18:00〜21:00[土・日・祝]11:30〜15:00※材料が無くなり次第終了,～￥999,無,12席,無
らーめん 玄,世田谷区北沢2-28-7 エルフェアシティ下北沢2 1F,世田谷区,3.55,243,9871,[月・火・木～日]11:30～14:3017:00～20:00,[月・火・木～日]11:30～14:3017:00～20:00,～￥999,無,8席,無
横浜家系 侍 池尻店（さむらい）,世田谷区池尻4-12-14,世田谷区,3.55,242,7908,[火～土]11:00～20:00(材料が無くなり次第、営業終了)[日]10:00〜15:00年末年始・ＧＷ・夏季休業あり臨時休業・売り切れによる早仕舞いあり※営業中は電話に出られない事があります。店休日および営業時間はTwitter@samurai_Ikejiriよりご確認ください。,[火～土]11:00～20:00(材料が無くなり次第、営業終了)[日]10:00〜15:00年末年始・ＧＷ・夏季休業あり臨時休業・売り切れによる早仕舞いあり※営業中は電話に出られない事があります。店休日および営業時間はTwitter@samurai_Ikejiriよりご確認ください。,"￥1,000～￥1,999",無,11席,無
立川 田田（da'da'）,立川市柴崎町2-3-2,立川市,3.55,236,4331,11:00～翌1:00,11:00～翌1:00,～￥999,無,情報なし席,無
横浜ラーメン おか本,世田谷区駒沢1-17-13,世田谷区,3.55,228,7223,[月]11:00～16:00[水～日]11:00～15:0016:00～20:00,[月]11:00～16:00[水～日]11:00～15:0016:00～20:00,～￥999,無,11席,無
旅人の木,杉並区荻窪5-29-6 1F,杉並区,3.55,221,9858,［月・火・水・土・日］11:30～15:0018:00～20:30［金］11:30～15:00,［月・火・水・土・日］11:30～15:0018:00～20:30［金］11:30～15:00,～￥999,無,情報なし席,無
カミノ（camino）,世田谷区三宿2-11-33,世田谷区,3.55,215,11745,[火～日]11:30～14:30時短営業中,[火～日]11:30～14:30時短営業中,"￥1,000～￥1,999",無,情報なし席,無
ラーメン　○菅（マルスガ）,葛飾区亀有5-45-8,葛飾区,3.55,208,4379,[水・金・土]11:30～15:0018:00～24:00[月・木・日]11:30～15:0018:00～22:00,[水・金・土]11:30～15:0018:00～24:00[月・木・日]11:30～15:0018:00～22:00,～￥999,無,情報なし席,無
寿限無 担々麺 上野店,台東区上野6-1-6,台東区,3.55,206,5715,11:00～23:00,11:00～23:00,"￥1,000～￥1,999",無,27席,無
徳島ラーメン はるま,新宿区西新宿7-11-2 ASP西新宿ビル 1F,新宿区,3.55,202,5507,(月)11時～23時30(L.O)(火)11時～23時30(L.O)(水)11時～23時30(L.O)(木)定休日(金)11時～23時30(L.O)(土)11時～23時30(L.O)(日)11時～23時30(L.O),(月)11時～23時30(L.O)(火)11時～23時30(L.O)(水)11時～23時30(L.O)(木)定休日(金)11時～23時30(L.O)(土)11時～23時30(L.O)(日)11時～23時30(L.O),～￥999,無,11席,無
熊公（くまこう）,中央区日本橋馬喰町2-5-11,中央区,3.55,187,5579,[月・火・木・金]11:00～14:30 17:00～19:00 [水]11:00～14:30,[月・火・木・金]11:00～14:30 17:00～19:00 [水]11:00～14:30,～￥999,無,9席,無
横浜家系ラーメン 大輝家,大田区蒲田4-16-8,大田区,3.55,182,3479,朝ラ7:00～11:00［月～金]7:00～24:00[土・日]11:00～24:00,朝ラ7:00～11:00［月～金]7:00～24:00[土・日]11:00～24:00,～￥999,無,13席,無
大学ラーメン（がんそながはま だいがくらーめん）,東大和市清原4-10-10,東大和市,3.55,158,2728,[水～金・日]11:30～15:0018:00～22:00[火]18:00～22:00[土・祝]11:30～22:00月曜祝日の場合は営業，火曜日が休みになります,[水～金・日]11:30～15:0018:00～22:00[火]18:00～22:00[土・祝]11:30～22:00月曜祝日の場合は営業，火曜日が休みになります,～￥999,有,14席,有
麺処あずき,八王子市本町14-10 金子ビル102,八王子市,3.55,136,3811,,,～￥999,無,8席,無
拉麺 はま家,中央区日本橋小伝馬町8-5,中央区,3.55,136,4373,[月～土]11:30～14:30 17:00～20:30,[月～土]11:30～14:30 17:00～20:30,"￥1,000～￥1,999",無,8席,無
麺屋 おやゆび,港区芝2-30-9 プロシード三田 1F,港区,3.55,134,3447,11:00～15:00 18:00～21:00[水]11:00～15:00,11:00～15:00 18:00～21:00[水]11:00～15:00,～￥999,無,情報なし席,無
だれやめや,杉並区阿佐谷南3-34-10,杉並区,3.55,89,9018,18:00～23:00お食事ラストオーダー22:00ドリンク22：00(☆らぁ麺、つけ麺は、スープなくなり次第終了),18:00～23:00お食事ラストオーダー22:00ドリンク22：00(☆らぁ麺、つけ麺は、スープなくなり次第終了),"￥4,000～￥4,999",無,15席,無
東京スタイルみそらーめん ど・みそ  京橋本店,中央区京橋3-4-3 千成ビル　１Ｆ,中央区,3.54,1615,50307,【月〜金】10:30〜22:30【土.日.祝】10:30〜21:00,【月〜金】10:30〜22:30【土.日.祝】10:30〜21:00,"￥1,000～￥1,999",無,11席,無
つじ田 神田御茶ノ水店,千代田区神田小川町1-4 和田ビル 1F,千代田区,3.54,1458,36317,[月～金]11:00～23:00（売り切れ次第終了）[土・日・祝]11:00～21:00（売り切れ次第終了）,[月～金]11:00～23:00（売り切れ次第終了）[土・日・祝]11:00～21:00（売り切れ次第終了）,"￥1,000～￥1,999",無,16席,無
東京煮干し らーめん玉 東京駅店,千代田区丸の内1-9-1 東京駅一番街 B1F 東京ラーメンストリート,千代田区,3.54,1265,16132,営業時間8時30分～23時（ラストオーダー22時30分）,営業時間8時30分～23時（ラストオーダー22時30分）,～￥999,無,30席,無
175°DENO担担麺 TOKYO（ヒャクナナジュウゴドデノ担担麺）,新宿区西新宿7-2-4 新宿MSビル 1F,新宿区,3.54,685,21845,◎日・月・火・木・金・土　　11:00~21:45L.O.(22:00close)＊水曜日定休175GINZa(銀座店)もございます。,◎日・月・火・木・金・土　　11:00~21:45L.O.(22:00close)＊水曜日定休175GINZa(銀座店)もございます。,～￥999,無,22席,無
荒海（あらうみ）,渋谷区代々木2-16-9,渋谷区,3.54,552,12241,[月～土]　11:00～翌3:00[日・祝]　11:00～21:00休憩時間なしの通し営業なのでアイドルタイム（15:00～17:00）が空いていて便利です。,[月～土]　11:00～翌3:00[日・祝]　11:00～21:00休憩時間なしの通し営業なのでアイドルタイム（15:00～17:00）が空いていて便利です。,～￥999,無,10席,無
三三七 大森店（三三㐂）,大田区山王2-2-13,大田区,3.54,471,10119,11時～23時（L.O.22時）,11時～23時（L.O.22時）,"￥1,000～￥1,999",無,32席,無
横浜家系らーめん 武術家,品川区大井1-50-14 SK幸生ビル 1F,品川区,3.54,466,8757,11:00～翌2:00,11:00～翌2:00,～￥999,有,10席,有
京都銀閣寺 ますたに 日本橋本店,中央区日本橋2-10-3 エグゼトゥール日本橋 1F,中央区,3.54,452,12920,[月～金]10:30～22:30[土・日・祝]10:30～22:00[第1日]10:30～15:00,[月～金]10:30～22:30[土・日・祝]10:30～22:00[第1日]10:30～15:00,～￥999,無,情報なし席,無
麺うらた,目黒区自由が丘1-12-5 1F,目黒区,3.54,425,10906,,,～￥999,無,11席,無
餃子荘 紅蜥蜴（ギョウザソウベニトカゲ）,世田谷区新町2-4-15,世田谷区,3.54,376,15633,11:00～14:15 17:30～22:00(L.O.21:15),11:00～14:15 17:30～22:00(L.O.21:15),"￥1,000～￥1,999",無,20席,無
中華料理 大宝（タイホウ）,港区南麻布2-7-23,港区,3.54,363,17679,11:30～14:00 18:00～22:00(L.O.21:30),11:30～14:00 18:00～22:00(L.O.21:30),"￥1,000～￥1,999",無,18席,無
焼麺　劔（つるぎ、剣）,新宿区高田馬場2-6-10 関ビル 1F,新宿区,3.54,362,18391,11:30～ 20:00(L.O.19:30)          祝日営業,11:30～ 20:00(L.O.19:30)          祝日営業,～￥999,無,10席,無
百年本舗 秋葉原総本店,千代田区外神田3-8-9 昌徳ビル1Ｆ,千代田区,3.54,359,10356,11:00～22:00,11:00～22:00,～￥999,無,16席,無
三吉（らーめん三吉）,中央区銀座8-7 銀座ナイン2号館 B1F,中央区,3.54,339,20107,11:30～13:3017:00～19:00,11:30～13:3017:00～19:00,"￥1,000～￥1,999",無,9席,無
赤羽京介,北区赤羽西1-7-1 パルロード3 ループ館 1F,北区,3.54,317,8563,11:30〜15:0017:30〜22:00,11:30〜15:0017:30〜22:00,～￥999,有,15席,有
